Reviewer Name,Review Date,Review Content
Laura Whitley,"Reviewed in the United States on October 19, 2024","I got turned onto this years ago at sushi bars and it tastes so similar to my own. pretty pricey at grocery stores per bottle so I looked on amazon. 6 bottles is not to much, pantry safe till opened & the fact that it's in a squirt bottle is so much better than watching people lick the knife & put it directly back into a jar. also, if you want to customize with garlic juice, mustard, sriracha or some wasabi go for it. you just can't do it when it's full, let it go down by about a 1/4. that's all."
Desirae Le,"Reviewed in the United States on December 29, 2024",Love this stuff! So good. I used it to make japanese potato salad and to top my okonomiyaki. It was delicious!
Kat,"Reviewed in the United States on February 17, 2025",
AFMerc,"Reviewed in the United States on January 30, 2024","I recently purchased the Kewpie Squeeze Mayonnaise, and I must say, it has completely transformed my mayo game. The squeeze bottle design is not only convenient but also ensures that I can effortlessly add just the right amount to my sandwiches, burgers, and salads without any mess. The 12-ounce size strikes the perfect balance between having enough to last but without taking up too much space in my fridge.

The flavor of this mayo is exceptional. It's rich, creamy, and has a unique taste that sets it apart from other mayonnaises. What's even better is that it's gluten-free, catering to those with dietary restrictions without compromising on taste. The Kewpie brand has truly delivered a mayonnaise that excels in both convenience and flavor. I highly recommend the Kewpie Squeeze Mayonnaise to anyone looking to elevate their culinary experience – it's a 5-star product that has earned a permanent spot in my kitchen!"
Stevie Holland,"Reviewed in the United States on April 9, 2024","The best way I could describe this to someone who has never tasted it before, is that it tastes like a very tangy mayonnaise lol. Like it has horseradish kind of twang. Ive only tried a taste of it off of my finger, and not on any food, but it isn't an awful taste, but definitely has an acquired taste"
PhxAvidReader1,"Reviewed in the United States on August 11, 2023","I'm not big on mayo, but I kept seeing this product alongside items like ""Better than Bullion"" and ""Kerrygold Butter"" in yearly lists of upgrades worth the price.

One tuna sandwich was all it took to sell me on this, despite the fact that I used it sparingly.

It costs a bit more, so I save it for dishes and dips where I expect to taste the mayo.

I hope you enjoy it."
Benjamin Hosfeld,"Reviewed in the United States on March 11, 2025",Received a a bottle that was expired in November of last year.
California customer,"Reviewed in the United States on October 23, 2024",I have seen this many times on cooking shows and I have been curious to try it. A definite fan. Better texture and great flavor.
Autoworker,"Reviewed in Canada on October 8, 2024","Fantastic flavour, The best yet for any mayonnaise we have ever tried and the only one we use now. Weird packaging with a soft squeeze bottle but it actually works quite well. If you havent tried this Kewpie Mayo just buy it and then throw your other mayo away because you most likey will be as shocked as us at just how tasty this is."
Arvi C.,"Reviewed in Canada on January 14, 2025","Was so disappointed. The oil is split and I did my best to shake it, I even blended it but it’s all watery and soupy and not a mayo consistency anymore even after blending. Don’t buy!"
Elven,"Reviewed in Canada on October 13, 2024","LOL I saw this mayo on a video, thought I would give it a try, I LOVE THIS STUFF, I put it on practically everything.....It really has a unique taste that outshines all other mayos. It's especially fantastic on deviled eggs! GOODBYE regular mayo! I'm a Kewpie Mayo lover now!!!! Thank you!"
Valerie Gordon,"Reviewed in Canada on January 26, 2024",The only problem is that it splits in the bottle so when you get its and oily mess. I had to take it out of the squeeze bottle and remix it before refrigerating. I'm not sure it would always work so you'd have to try it for yourself.
